"id","timestamp","location","aqi","pm25","pm10","co","so2","no2","o3"
"11726","2025-11-27 12:55:44.487889+00","Phu Tho","60","14","24","353","3","5","36"
"11727","2025-11-27 12:55:48.003205+00","Quang Binh Province","77","23","54","526","6","19","48"
"11728","2025-11-27 12:55:50.538482+00","Quang Nam","79","24","35","233","3","7","61"
"11729","2025-11-27 12:55:53.056848+00","Quang Ngai","88","29","53","219","3","6","35"
"11730","2025-11-27 12:55:55.613259+00","Quang Ninh","59","14","35","215","6","5","44"
"11731","2025-11-27 12:55:57.812614+00","Quang Ninh Province","66","17","37","273","4","6","41"
"11732","2025-11-27 12:56:00.062385+00","Quang Tri","66","17","37","273","4","6","41"
"11733","2025-11-27 12:56:02.586182+00","Son La","75","22","26","323","6","7","45"
"11734","2025-11-27 12:56:05.165814+00","Tay Ninh","66","17","25","276","4","13","50"
"11735","2025-11-27 12:56:24.982844+00","Thai Binh Province","62","15","25","185","6","10","48"
"11736","2025-11-27 12:56:28.37514+00","Thua Thien Hue","81","25","46","243","3","5","62"
"11737","2025-11-27 12:56:30.962771+00","Tra Vinh","84","27","35","270","4","6","77"
"11738","2025-11-27 12:56:33.498033+00","Tuyen Quang Province","69","19","25","348","5","8","44"
"11739","2025-11-27 12:56:36.073381+00","Vinh Long","77","23","29","253","4","11","56"
"11740","2025-11-27 12:56:38.841646+00","Vinh Phuc","79","24","26","273","6","9","53"
"11741","2025-11-27 13:35:52.961863+00","Ba Ria Vung Tau","79","24","38","264","3","10","66"
"11742","2025-11-27 13:35:55.183845+00","Bac Giang","66","17","41","227","11","7","27"
"11743","2025-11-27 13:35:57.381632+00","Bac Ninh","59","14","20","261","8","10","34"
"11744","2025-11-27 13:35:59.573947+00","Binh Dinh","74","21","32","207","2","5","55"
"11745","2025-11-27 13:36:01.777454+00","Binh Duong","70","19","27","262","3","12","48"
"11746","2025-11-27 13:36:04.010404+00","Can Tho","71","20","30","243","3","11","55"
"11747","2025-11-27 13:36:06.205804+00","Cao Bang","80","24","48","406","2","4","41"
"11748","2025-11-27 13:36:08.400244+00","Da Nang","80","24","45","246","4","6","70"
"11749","2025-11-27 13:36:10.583115+00","Gia Lai","75","22","28","302","4","21","53"
"11750","2025-11-27 13:36:12.818024+00","Ha Nam","79","24","39","298","7","15","42"
"11751","2025-11-27 13:36:15.009987+00","Ha Nam Province","82","26","37","307","8","17","39"
"11752","2025-11-27 13:36:17.202011+00","Ha Noi","77","23","38","216","5","10","48"
"11753","2025-11-27 13:36:19.389123+00","Hai Duong","63","16","42","223","11","8","39"
"11754","2025-11-27 13:36:21.589703+00","Hai Phong","62","15","41","199","7","6","45"
"11755","2025-11-27 13:36:23.829758+00","Ho Chi Minh","72","20","32","245","4","12","56"
"11756","2025-11-27 13:36:26.281455+00","Hanoi","68","18","42","254","6","14","41"
"11757","2025-11-27 13:36:28.470557+00","Hung Yen","73","21","30","262","7","13","43"
"11758","2025-11-27 13:36:30.65479+00","Hoa Binh Province","73","21","48","225","6","14","41"
"11759","2025-11-27 13:36:32.842972+00","Khanh Hoa","69","19","26","188","1","6","50"
"11760","2025-11-27 13:36:35.075318+00","Lam Dong","22","4","6","164","1","6","41"
"11761","2025-11-27 13:36:37.271791+00","Lang Son","69","19","47","232","6","4","30"
"11762","2025-11-27 13:36:39.454683+00","Lang Son Province","73","21","47","228","9","7","27"
"11763","2025-11-27 13:36:41.643606+00","Lao Cai","53","10","20","149","1","2","46"
"11764","2025-11-27 13:36:43.886318+00","Long An","82","26","32","320","5","16","50"
"11765","2025-11-27 13:36:46.07293+00","Nghe An","70","19","41","688","9","24","36"
"11766","2025-11-27 13:36:48.259028+00","Ninh Binh","77","23","37","219","5","9","47"
"11767","2025-11-27 13:36:50.425928+00","Ninh Thuan","71","20","26","179","1","7","50"
"11768","2025-11-27 13:36:52.627331+00","Phu Tho","60","14","24","353","3","5","36"
"11769","2025-11-27 13:36:54.87375+00","Quang Binh Province","77","23","54","526","6","19","48"
"11770","2025-11-27 13:36:57.042946+00","Quang Nam","79","24","35","233","3","7","61"
"11771","2025-11-27 13:36:59.211759+00","Quang Ngai","88","29","53","219","3","6","35"
"11772","2025-11-27 13:37:01.408342+00","Quang Ninh","59","14","35","215","6","5","44"
"11773","2025-11-27 13:37:04.73276+00","Quang Ninh Province","64","16","32","238","5","3","44"
"11774","2025-11-27 13:37:06.965062+00","Quang Tri","64","16","32","238","5","3","44"
"11775","2025-11-27 13:37:09.167288+00","Son La","75","22","26","323","6","7","45"
"11776","2025-11-27 13:37:11.350391+00","Tay Ninh","66","17","25","276","4","13","50"
"11777","2025-11-27 13:37:13.832226+00","Thai Binh","117","42","54","392","11","25","26"
"11778","2025-11-27 13:37:16.006992+00","Thai Binh Province","62","15","25","185","6","10","48"
